#	CAMINHO NO XML	CAMPO	REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO  SISTEMA NACIONAL NFS-e						NÍVEL DA REGRA	EMISSORES PÚBLICOS NACIONAIS NFS-e (SEFIN, WEB, APP)		ADN NFS-e		OBSERVAÇÕES DE NEGÓCIO
			Nível 1 - Regras de negócio para consistência do Leiaute NFS-e  Nível 2 - Regras de Negócio gerais para todos os municípios aderentes ao SN NFS-e  Nível 3 - Regras de Negócio específicas conforme legislação municipal do município parametrizada no SN NFS-e 							RNs EXECUTADAS NA RECEPÇÃO DE DPS EVIADAS PELOS EMITENTES (V), RNs EXECUTADAS NA GERAÇÃO DAS INFORMAÇÕES DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (V) E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDA SOB CONDIÇÕES DE  DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS NA GERAÇÃO DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (SEFIN, WEB, APP) RNs EXECUTADAS (V) RNs NÃO EXECUTADAS (X)	RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V)  E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDAS SOB CONDIÇÕES DE DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V) E RNs NÃO EXECUTADAS (X)	
174			Verificar se o IM informado na DPS está autorizado a emitir NFS-e na data de processamento desta DPS, se o emitente for o tomador de serviço (tpEmit = 2) e, se houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então a IM deve ser informada na DPS.  Utilizar o identificador federal (CNPJ ou CPF) do tomador de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.  Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.		Obrig.	Rej.	E0231	IM do emitente tomador não está autorizado a emitir NFS-e, conforme informações complementares registradas no CNC NFS-e do município emissor informado na DPS.	2	V	X	X	X	-
175			Se o emitente for o tomador de serviço (tpEmit = 2) e, se não houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então o IM não deve ser informado na DPS.  Utilizar o identificador federal (CNPJ ou CPF) do tomador de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.		Obrig.	Rej.	E0232	IM do tomador não deve ser informado, pois não existem informações complementares registradas no CNC NFS-e do município emissor informado na DPS.	2	V	X	X	X	-
176			Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.  Para o emitente tomador de serviço (tpEmit = 2), verificar se o IM informado nesta DPS está Inativo (cStat) no CNC do município emissor na data de competência informada.   Se todos os registros complementares estiverem inativos, utilizar as informações dos cadastros RFB (CNPJ ou CPF), conforme identificador federal utilizado para identificar o emitente da DPS.		Obrig.	Rej.	E0229	O IM informado está inativo no CNC NFS-e do município emissor para a data de competência informada na DPS. 	2	V	X	X	X	-
177	NFSe/infNFSe/DPS/infDPS/toma/	xNome	Se NIF for preenchido então o campo xNome deve ser preenchido obrigatoriamente.		Obrig.	Rej.	E0233	O nome tomador deve ser preenchido obrigatoriamente quando o NIF do tomador for preenchido.	1	V	X	V	X	-
178	NFSe/infNFSe/DPS/infDPS/toma/	end	Quando o emitente da DPS informar um subitem da lista de serviço cuja incidência do ISSQN ocorra no local do estabelecimento/endereço do tomador, conforme planilha MUN.INCID_INFO.SERV., o endereço do tomador deve ser obrigatoriamente informado. 		Obrig.	Rej.	E0234	O endereço do tomador é obrigatório quando a incidência do ISSQN definida para o serviço prestado ocorrer no local do estabelecimento/domicílio do tomador.	2	V	V	V	V	-
179	NFSe/infNFSe/DPS/infDPS/toma/end/	endNac	Se o tpEmit é igual a 1 e o tomador foi identificado pelo CNPJ, então o grupo de informações de endereço nacional do tomador do serviço deve ser informado obrigatoriamente.		Obrig.	Rej.	E0235	O endereço nacional do tomador do serviço deve ser informado na DPS quando o tomador for identificado pelo CNPJ.	1	X	X	V	X	-
180			Se o emitente da DPS é o tomador do serviço (tpEmit = 2), então o grupo de informações do endereço nacional do tomador não deve ser informado na DPS.		Obrig.	Rej.	E0236	O endereço nacional do tomador do serviço não deve ser informado na DPS quando o próprio tomador do serviço for o emitente da DPS.	1	V	X	V	X	-
181			Se o valor do ISSQN deve ser retido pelo tomador do serviço (tpRetISSQN = 2), então o grupo de informações do endereço nacional deve ser informado na DPS obrigatoriamente, exceto se o emitente da DPS é o tomador do serviço (tpEmit = 2).		Obrig.	Rej.	E0237	O endereço nacional do tomador do serviço deve ser informado na DPS quando o valor do ISSQN for retido pelo tomador, exceto se o emitente da DPS é o próprio tomador do serviço.	1	V	X	V	X	-
182	NFSe/infNFSe/DPS/infDPS/toma/end/endNac/	cMun	O código do município informado para o endereço do tomador do serviço não existe, conforme tabela de municípios do IBGE.		Obrig.	Rej.	E0238	O código do município informado na DPS para o endereço do tomador do serviço não existe conforme tabela de município do IBGE.	1	V	V	V	V	-
183	NFSe/infNFSe/DPS/infDPS/toma/end/endNac/	CEP	O CEP informado deve existir e pertencer ao município correspondente ao código do município informado para o endereço do tomador do serviço.		Obrig.	Rej.	E0240	O CEP informado para o endereço nacional do tomador do serviço não existe ou não pertence ao município do endereço do tomador.	1	V	X	V	X	-
184	NFSe/infNFSe/DPS/infDPS/toma/end/	endExt	Se o NIF do tomador de serviço foi informado e o emitente da DPS for identificado por CNPJ, então o grupo de informações de endereço no exterior do tomador do serviço deve ser informado obrigatoriamente.		Obrig.	Rej.	E0242	O grupo de informações de endereço no exterior deve ser informado obrigatoriamente quando o tomador for identificado pelo NIF e o emitente por CNPJ.	1	V	X	V	X	-
185	NFSe/infNFSe/DPS/infDPS/toma/end/endExt/	cPais	O código de país informado para o endereço no exterior do tomador do serviço deve existir e ser diferente de Brasil (BR), conforme a tabela ISO2.		Obrig.	Rej.	E0246	O código de país informado para o endereço no exterior do tomador do serviço não existe ou é igual ao código do Brasil. Informe um código de país existente e diferente do codigo do Brasil (BR) para o endereço no exterior do tomador do serviço, conforme tabela de país ISO2.	1	V	V	V	V	-
186	NFSe/infNFSe/DPS/infDPS/toma/end/endExt/	cEndPost	-		-	-	-	-	-	-	-	-	-	-
187	NFSe/infNFSe/DPS/infDPS/toma/end/endExt/	xCidade	-		-	-	-	-	-	-	-	-	-	-
188	NFSe/infNFSe/DPS/infDPS/toma/end/endExt/	xEstProvReg	-		-	-	-	-	-	-	-	-	-	-
189	NFSe/infNFSe/DPS/infDPS/toma/end/	xLgr	-		-	-	-	-	-	-	-	-	-	-
190	NFSe/infNFSe/DPS/infDPS/toma/end/	nro	-		-	-	-	-	-	-	-	-	-	-
191	NFSe/infNFSe/DPS/infDPS/toma/end/	xCpl	-		-	-	-	-	-	-	-	-	-	-
192	NFSe/infNFSe/DPS/infDPS/toma/end/	xBairro	-		-	-	-	-	-	-	-	-	-	-
193	NFSe/infNFSe/DPS/infDPS/toma/	fone	-		-	-	-	-	-	-	-	-	-	-
194	NFSe/infNFSe/DPS/infDPS/toma/	email	Email deve ser informado conforme estrutura (conter @, ponto etc.).		Obrig.	Rej.	E0247	Email inválido.	2	V	X	V	X	-
195	NFSe/infNFSe/DPS/infDPS/	interm	-		-	-		-	-	-	-	-	-	-
196	NFSe/infNFSe/DPS/infDPS/interm/	CNPJ	CNPJ informado na DPS é inválido (verificar DV).		Obrig.	Rej.	E0248	CNPJ do intermediário informado na DPS é inválido.	1	V	V	V	V	-
197			CNPJ do intermediário não existe no cadastro CNPJ na data de competência informada na DPS.		Obrig.	Rej.	E0250	CNPJ do intermediário não encontrado no cadastro CNPJ.	2	V	-	X	-	-
198			Para este CNPJ, se o emitente for o intermediário do serviço (tpEmit = 3), na data de competência informada na DPS o município emissor deve corresponder: 1) ao município do endereço registrado no cadastro CNPJ ou; 2) ao município do endereço registrado no cadastro nacional complementar NFS-e. (cLocEmi + CNPJ + IM informados na DPS para o prestador devem existir no CNC NFS-e);		Obrig.	Rej.	E0254	CNPJ do emitente intermediário não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CNPJ e CNC NFS-e.	2	V	X	X	X	-
199			CNPJ do intermediário é igual ao CNPJ do prestador. Para efeitos desta regra comparar a raíz dos CNPJ (8 primeiros dígitos).		Obrig.	Rej.	E0262	Na emissão da NFS-e não é permitido que o prestador do serviço seja igual ao intermediário do serviço. 	2	V	X	X	X	-
200			Se a DPS indicar retenção pelo intermediário (tpRetISSQN = 3), então o intermediário deve ser identificado por CNPJ ou CPF.		Obrig.	Rej.	E0264	CNPJ ou CPF do intermediário não foi informado, mas existe uma indicação para retenção do ISSQN na DPS no campo de tipo de "Retenção do ISSQN".	2	V	X	X	X	-
201	NFSe/infNFSe/DPS/infDPS/interm/	CPF								V	X	X	X	-
202			CPF informado na DPS é inválido (verificar DV).		Obrig.	Rej.	E0266	CPF do intermediário informado na DPS é inválido.	1	V	V	V	V	-
203			CPF intermediário inexistente no cadastro CPF na data de competência informada na DPS.		Obrig.	Rej.	E0268	CPF do intermediário não encontrado no cadastro CPF.	2	V	X	X	X	-
204			Para este CPF, se o emitente for o intermediário do serviço (tpEmit = 3), na data de competência informada na DPS o município emissor (cLocEmi) deve corresponder ao município do endereço registrado no cadastro nacional complementar NFS-e. (cLocEmi + CPF + IM informados na DPS para o prestador devem existir no CNC NFS-e);		Obrig.	Rej.	E0272	CPF do emitente intermediário não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CPF e CNC NFS-e.	2	V	X	X	X	-
205	NFSe/infNFSe/DPS/infDPS/interm/	NIF	 Se o campo tpEmit for ígual a 3, então NIF do intermediário não pode ser informado.		Obrig.	Rej.	E0280	O intermediário de serviço, quando emitente da DPS, não pode ser identificado pelo NIF.	2	V	X	X	X	-
206			Se o grupo de informações de endereço no exterior do intermediário de serviços foi informado então o NIF ou cNaoNIF do intermediário deve ser informado.		Obrig.	Rej.	E0281	O NIF ou cNaoNIF do intermediário deve ser informado quando o grupo de informações de endereço no exterior do intermediário de serviços foi informado.	2	V	X	V	X	-
207	NFSe/infNFSe/DPS/infDPS/interm/	cNaoNIF				Rej.								
208			Se o campo tpEmit for ígual a 3, então cNaoNIF do intermediário não pode ser informado.		Obrig.	Rej.	E0284	O intermediário de serviço, quando emitente da DPS, somente pode ser identificado pelo CNPJ ou CPF.	2	V	X	X	X	-
209			Se o valor do campo cNaoNIF do intermediário, informado na DPS, for 0, então a DPS deve ser rejeitada.		Obrig.	Rej.	E0286	Valor 0 para o motivo da não informação do NIF do intermediário não é permitido na Sefin do Sistema Nacional NFS-e.	2	V	X	X	X	-
210	NFSe/infNFSe/DPS/infDPS/interm/	CAEPF	-		-	-	-	-	-	-	-	-	-	-
211	NFSe/infNFSe/DPS/infDPS/interm/	IM	Se o emitente for o prestador de serviço (tpEmit = 3) e, se houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então a IM deve ser informada na DPS.  Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviço e o codigo do município emissor (cLocEmi), ambos informados na DPS, para identificar as ocorrências no CNC NFS-e. Se houver pelo menos uma ocorrência então o emitente da DPS deve informar o IM correspondente registrado no CNC NFS-e, que identifique unicamente o registro complementar.  Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.		Obrig.	Rej.	E0287	A IM não foi informada para o emitente intermediário do serviço na DPS.	2	V	X	X	X	-
212			Verificar se o IM informado na DPS está autorizado a emitir NFS-e na data de processamento desta DPS, se o emitente for o intermediário de serviço (tpEmit = 3) e, se houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então a IM deve ser informada na DPS.  Utilizar o identificador federal (CNPJ ou CPF) do intermediário de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.  Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.		Obrig.	Rej.	E0289	IM do emitente intermediário não está autorizado a emitir NFS-e, conforme informações complementares registradas no CNC NFS-e do município emissor informado na DPS.	2	V	X	X	X	-
213			Se o emitente for o intermediário de serviço (tpEmit = 3) e, se não houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então o IM não deve ser informado na DPS.  Utilizar o identificador federal (CNPJ ou CPF) do intermediário de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.		Obrig.	Rej.	E0290	IM do intermediário não deve ser informado, pois não existem informações complementares registradas no CNC NFS-e do município emissor informado na DPS.	2	V	X	X	X	-
214			Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.  Para o emitente intermediário de serviço (tpEmit = 3), verificar se o IM informado nesta DPS está Inativo (cStat) no CNC do município emissor na data de competência informada.   Se todos os registros complementares estiverem inativos, utilizar as informações dos cadastros RFB (CNPJ ou CPF), conforme identificador federal utilizado para identificar o emitente da DPS.		Obrig.	Rej.	E0288	O IM informado está inativo no CNC NFS-e do município emissor para a data de competência informada na DPS. 	2	V	X	X	X	-
215	NFSe/infNFSe/DPS/infDPS/interm/	xNome	Se NIF for preenchido então o campo xNome deve ser preenchido obrigatoriamente.		Obrig.	Rej.	E0292	O nome intermediário deve ser preenchido obrigatoriamente quando o NIF do intermediário for preenchido.	1	V	-	V	-	-
216	NFSe/infNFSe/DPS/infDPS/interm/	end	-		-	-	-	-	-	-	-	-	-	-
217	NFSe/infNFSe/DPS/infDPS/interm/end/	endNac	Se o tpEmit é igual a 1 e o intermediário foi identificado pelo CNPJ, então o grupo de informações de endereço nacional do intermediário do serviço deve ser informado obrigatoriamente.		Obrig.	Rej.	E1388	O endereço nacional do intermediário do serviço deve ser informado na DPS quando o intermediário for identificado pelo CNPJ.	1	X	X	V	X	-
218			Se o emitente da DPS é o intermediário do serviço (tpEmit = 3), então o grupo de informações do endereço nacional do intermediário não deve ser informado na DPS.		Obrig.	Rej.	E0291	O endereço nacional do intermediário do serviço não deve ser informado na DPS quando o próprio tomador do serviço for o emitente da DPS.	1	V	X	V	X	-
219			Se o valor do ISSQN deve ser retido pelo intermediário do serviço (tpRetISSQN = 3), então o grupo de informações do endereço nacional deve ser informado na DPS obrigatoriamente, exceto se o emitente da DPS é o intermediário do serviço (tpEmit = 3).		Obrig.	Rej.	E0293	O endereço nacional do intermediário do serviço deve ser informado na DPS quando o valor do ISSQN for retido pelo intermediário, exceto se o emitente da DPS é o intermediário do serviço.	1	V	X	V	X	-
220	NFSe/infNFSe/DPS/infDPS/interm/end/endNac/	cMun	O código do município informado para o endereço do intermediário do serviço não existe, conforme tabela de municípios do IBGE.		Obrig.	Rej.	E0294	O código do município informado na DPS para o endereço do intermediário do serviço não existe conforme tabela de município do IBGE.	1	V	V	V	V	-
221	NFSe/infNFSe/DPS/infDPS/interm/end/endNac/	CEP	O CEP informado deve existir e pertencer ao município correspondente ao código do município informado para o endereço do intermediário do serviço.		Obrig.	Rej.	E0296	O CEP informado para o endereço nacional do intermediário do serviço não existe ou não pertence ao município do endereço do intermediário.	1	V	X	V	X	-
222	NFSe/infNFSe/DPS/infDPS/interm/end/	endExt	Se o NIF do intermediário de serviço foi informado e o emitente da DPS for identificado por CNPJ, então o grupo de informações de endereço no exterior do tomador do serviço deve ser informado obrigatoriamente.		Obrig.	Rej.	E0298	O grupo de informações de endereço no exterior deve ser informado obrigatoriamente quando o intermediário for identificado pelo NIF e o emitente por CNPJ.	1	V	X	V	X	-
223	NFSe/infNFSe/DPS/infDPS/interm/end/endExt/	cPais	O código de país informado para o endereço no exterior do intermediário do serviço deve existir e ser diferente de Brasil (BR), conforme a tabela ISO2.		Obrig.	Rej.	E0299	O código de país informado para o endereço no exterior do intermediário do serviço não existe ou é igual ao código do Brasil. Informe um código de país existente e diferente do codigo do Brasil (BR) para o endereço no exterior do intermediário do serviço, conforme tabela de país ISO2.	1	V	V	V	V	-
224	NFSe/infNFSe/DPS/infDPS/interm/end/endExt/	cEndPost	-		-	-	-	-	-	-	-	-	-	-
225	NFSe/infNFSe/DPS/infDPS/interm/end/endExt/	xCidade	-		-	-	-	-	-	-	-	-	-	-
226	NFSe/infNFSe/DPS/infDPS/interm/end/endExt/	xEstProvReg	-		-	-	-	-	-	-	-	-	-	-
227	NFSe/infNFSe/DPS/infDPS/interm/end/	xLgr	-		-	-	-	-	-	-	-	-	-	-
228	NFSe/infNFSe/DPS/infDPS/interm/end/	nro	-		-	-	-	-	-	-	-	-	-	-
229	NFSe/infNFSe/DPS/infDPS/interm/end/	xCpl	-		-	-	-	-	-	-	-	-	-	-
230	NFSe/infNFSe/DPS/infDPS/interm/end/	xBairro	-		-	-	-	-	-	-	-	-	-	-
231	NFSe/infNFSe/DPS/infDPS/interm/	fone	-		-	-	-	-	-	-	-	-	-	-
232	NFSe/infNFSe/DPS/infDPS/interm/	email	Email deve ser informado conforme estrutura (conter @, ponto etc.).		Obrig.	Rej.	E0300	Email inválido.	2	V	X	V	X	-
233	NFSe/infNFSe/DPS/infDPS/	serv	-		-	-		-	-	-	-	-	-	-
234	NFSe/infNFSe/DPS/infDPS/serv/	locPrest	-		-	-		-	-	-	-	-	-	-
235	NFSe/infNFSe/DPS/infDPS/serv/locPrest/	cLocPrestacao	Se informado, o código do município deve existir na tabela de municípios do IBGE ou possuir a codificação 0000000, que representa "Águas Marítimas".		Obrig.	Rej.	E0302	O código do local da prestação do serviço não existe conforme a tabela de municípios IBGE disponibilizada no ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe.	1	V	V	V	V	-
236			Se informado o subitem 200101 para o código de tributação nacional (cTribNac),  então não é permitido informar 0000000, que representa "Águas Marítimas", para o local de prestação do serviço (cLocPrestacao).		Obrig.	Rej.	E1402	Quando é informado o subitem 200101 para o código de tributação nacional (cTribNac), não é permitido informar 0000000, que representa "Águas Marítimas", para o local de prestação do serviço (cLocPrestacao).		X	X	V	X	Para atender o dispositivo do Art 3º, § 2º, (No caso dos serviços a que se refere o subitem 22.01 da lista anexa, considera-se ocorrido o fato gerador e devido o imposto em cada Município em cujo território haja extensão de rodovia explorada.) o Sistema Nacional NFS-e considera o trecho de concessão de exploração de rodovia como uma localidade de prestação de serviço, assim como qualquer município brasileiro.  Para atender o dispositivo do Art 3º, § 3º, (Considera-se ocorrido o fato gerador do imposto no local do estabelecimento prestador nos serviços executados em águas marítimas, excetuados os serviços descritos no subitem 20.01) o Sistema Nacional NFS-e "Águas Marítimas" como uma localidade de prestação de serviço, assim como qualquer município brasileiro.  cLocPrestacao poderá assumir: qualquer código que represente um município da tabela de códigos de municípios do IBGE, qualquer código quer represente um trecho de concessão de exploração de rodovias do cadastro próprio do Sistema Nacional NFS-e ou 0000000, que representa "Águas Marítimas".
237	NFSe/infNFSe/DPS/infDPS/serv/locPrest/	cPaisPrestacao	Se informado, o código do país deve existir na tabela de país ISO2 e ser diferente de Brasil (BR).		Obrig.	Rej.	E0304	Informe um código de país existente diferente de Brasil (BR), conforme tabela de país ISO2.	1	V	V	V	V	-
238	NFSe/infNFSe/DPS/infDPS/serv/	cServ							-	-	-	-	-	-
239	NFSe/infNFSe/DPS/infDPS/serv/cServ/	cTribNac	Verificar se o código de tributação nacional informado existe e está administrado pelo município de incidência do ISSQN na data de competência informada na DPS, conforme a lista de serviços nacional do Sistema Nacional NFS-e.		Obrig.	Rej.	E0310	O código de tributação nacional informado não existe ou não está administrado pelo município de incidência do ISSQN na data de competência informada na DPS,  conforme a lista de serviços nacional do Sistema Nacional NFS-e.	2	V	X	X	X	-
240	NFSe/infNFSe/DPS/infDPS/serv/cServ/	cTribMun	Verificar se o código de tributação municipal informado existe e está administrado pelo município de incidência do ISSQN na data de competência informada na DPS.		Obrig.	Rej.	E0314	O código de tributação municipal informado não existe ou não está administrado pelo município de incidência do ISSQN na data de competência informada na DPS, 	3	V	X	X	X	-
241	NFSe/infNFSe/DPS/infDPS/serv/cServ/	xDescServ	-		-	-	-	-	-	-	-	-	-	-
242	NFSe/infNFSe/DPS/infDPS/serv/cServ/	cNBS	O código da lista NBS informado na DPS não existe, conforme tabela NBS do ANEXO_B-NBS2-LISTA_SERVICO_NACIONAL-SNNFSe do Manual Integrado do Sistema Nacional NFS-e.		Obrig.	Rej.	E0316	Código da lista NBS informado inexistente tabela de NBS do sistema.	2	V	X	V	X	-
243			Se o emitente for o prestador (tpEmit = 1) e qualquer um dos campos abaixo for informado na DPS,  País no exterior do endereço do tomador do serviço ou País no exterior do endereço do intermediário do serviço ou cPaisPrestacao é informado,  então é obrigatório informar na DPS um  item da NBS.		Obrig.	Rej.	E0318	É obrigatório informar na DPS um item da NBS para casos de exportação de serviço.	2	V	X	V	X	-
244			Se o emitente for o tomador (tpEmit = 2) ou o intermediário de serviço (tpEmit = 3), e qualquer um dos campos abaixo for informado na DPS  País no exterior do endereço do prestador do serviço ou cPaisPrestacao é informado,  então é obrigatório informar na DPS um item da NBS.		Obrig.	Rej.	E0320	É obrigatório informar na DPS um item da NBS para casos de importação de serviço.	2	V	X	V	X	-
245	NFSe/infNFSe/DPS/infDPS/serv/cServ/	cIntContrib	-		-	-	-	-	-	-	-	-	-	-
246	NFSe/infNFSe/DPS/infDPS/serv/	comExt	EXPORTAÇÃO DE SERVIÇO  Se o emitente for o prestador (tpEmit = 1), e qualquer um dos campos abaixo for informado na DPS   País no exterior do endereço do tomador do serviço, País no exterior do endereço do intermediário do serviço ou cPaisPrestacao é informado ou  tribISSQN for Exportação de serviço (tribISSQN = 3),  então o grupo de informações de comércio exterior devem ser informado.		Obrig.	Rej.	E0330	É obrigatório prestar informações de comércio exterior para as situações de exportação de serviços.	1	V	X	V	X	-
247			IMPORTAÇÃO DE SERVIÇO   Se o emitente for o tomador (tpEmit = 2) ou o intermediário de serviço (tpEmit = 3),  e qualquer um dos campos abaixo for informado na DPS  País no exterior do endereço do prestador do serviço ou cPaisPrestacao é informado,  então o grupo de informações de comércio exterior devem ser informados.		Obrig.	Rej.	E0331	É obrigatório prestar informações de comércio exterior para as situações de importação de serviços.	1	V	X	V	X	-
248	NFSe/infNFSe/DPS/infDPS/serv/comExt/	mdPrestacao	Se o valor do campo mdPrestacao for 0, então a DPS deve ser rejeitada.		Obrig.	Rej.	E0333	Valor 0 para o modo de prestação não é permitido na Sefin do Sistema Nacional NFS-e.	2	V	X	X	X	-
249	NFSe/infNFSe/DPS/infDPS/serv/comExt/	vincPrest	-		-	-	-	-	-	-	-	-	-	-
250	NFSe/infNFSe/DPS/infDPS/serv/comExt/	tpMoeda	-		-	-	-	-	-	-	-	-	-	-
251	NFSe/infNFSe/DPS/infDPS/serv/comExt/	vServMoeda	-		-	-	-	-	-	-	-	-	-	-
252	NFSe/infNFSe/DPS/infDPS/serv/comExt/	mecAFComexP	Se o valor do campo mecAFComexP for 0, então a DPS deve ser rejeitada.		Obrig.	Rej.	E0341	Valor 0 para o Mecanismo de apoio/fomento ao Comércio Exterior utilizado pelo prestador do serviço não é permitido na Sefin do Sistema Nacional NFS-e.	2	V	X	X	X	-
253	NFSe/infNFSe/DPS/infDPS/serv/comExt/	mecAFComexT	Se o valor do campo mecAFComexT for 0, então a DPS deve ser rejeitada.		Obrig.	Rej.	E0343	Valor 0 para o Mecanismo de apoio/fomento ao Comércio Exterior utilizado pelo tomador do serviço não é permitido na Sefin do Sistema Nacional NFS-e.	2	V	X	X	X	-
254	NFSe/infNFSe/DPS/infDPS/serv/comExt/	movTempBens	Se o valor do campo movTempBens for 0, então a DPS deve ser rejeitada.		Obrig.	Rej.	E0345	Valor 0 para o Vínculo da Operação à Movimentação Temporária de Bens não é permitido na Sefin do Sistema Nacional NFS-e.	2	V	X	X	X	-
255	NFSe/infNFSe/DPS/infDPS/serv/comExt/	nDI	Se movTempBens = 2, então o preenchimento de nDI é obrigatório		Obrig.	Rej.	E0352	O preenchimento do campo nDI (Número da Declaração de Importação) é obrigatório quando o campo (movTempBens) Vínculo da Operação à Movimentação Temporária de Bens for igual a 2.	2	V	X	X	X	-
256			Se movTempBens = 1, então o preenchimento de nDI e nRE não é permitido		Obrig.	Rej.	E0354	O preenchimento dos campos nDI (Número da Declaração de Importação) ou do nRE (úmero do Registro de Exportação) não é permitido quando o campo (movTempBens) Vínculo da Operação à Movimentação Temporária de Bens for igual a 1.	2	V	X	X	X	-
257	NFSe/infNFSe/DPS/infDPS/serv/comExt/	nRE							2	V	X	X	X	-
258			Se movTempBens = 3, então o preenchimento de nRE é obrigatório		Obrig.	Rej.	E0356	O preenchimento do campo nRE (úmero do Registro de Exportação) é obrigatório quando o campo (movTempBens) Vínculo da Operação à Movimentação Temporária de Bens for igual a 3.	2	V	X	X	X	-
259	NFSe/infNFSe/DPS/infDPS/serv/comExt/	mdic	-		-	-		-	-	-	-	-	-	-
260	NFSe/infNFSe/DPS/infDPS/serv	obra	 Se o código de tributação nacional pertencer a um dos subitens, 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01 e 07.19.01 da lista de serviços, então o grupo de informações de obra é obrigatório.		Obrig.	Rej.	E0370	O grupo de informações de obra é obrigatório quando o código de tributação nacional pertencer a um dos subitens 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01 e 07.19.01 da lista de serviços.	1	V	X	V	X	-
261			Se o código de tributação nacional não pertencer a algum dos subitens 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01 e 07.19.01 da lista de serviços, então o grupo de informações de obra não é permitido. *Exceção: O grupo de informações de obra pode ser informado se o código de tributação nacional for o 99.01.01.		Obrig.	Rej.	E0372	O grupo de informações de obra não é permitido quando o código de tributação nacional não pertencer a algum dos subitens 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01 e 07.19.01  da lista de serviços, com exceção do código 99.01.01.	1	V	X	V	X	-
262	NFSe/infNFSe/DPS/infDPS/serv/obra/	inscImobFisc	-		-	-	-	-	-	-	-	-	-	-
263	NFSe/infNFSe/DPS/infDPS/serv/obra/	cObra	-		-	-	-	-	-	-	-	-	-	-
264	NFSe/infNFSe/DPS/infDPS/serv/obra/	end	-		-	-	-	-	-	-	-	-	-	-
265	NFSe/infNFSe/DPS/infDPS/serv/obra/end/	CEP	O CEP a ser informa para endereço da obra deve pertencer ao município que foi informado como local da prestação do serviço.		Obrig.	Rej.	E0380	Informe um CEP correspondente ao município do local da prestação do serviço informado nesta DPS para indicar corretamente o endereço da obra.	1	V	X	V	X	-
266			Se o pais da prestação do serviço de obra foi informado (cPaisPrestacao foi informado), então o CEP não pode ser informado.		Obrig.	Rej.	E0382	O CEP não deve ser informado quando o endereço da obra ocorrer no exterior do país.	1	V	X	V	X	-
267	NFSe/infNFSe/DPS/infDPS/serv/obra/end/	endExt	Se o pais local da prestação do serviço de obra foi informado (cPaisPrestacao foi informado), então o grupo de informações de endereço no exterior deve ser informado.		Obrig.	Rej.	E0384	O grupo de informações de endereço da atividade de obra ocorrido no exterior deve ser informado quando o país do local da prestação for informado na DPS.	1	V	X	V	X	-
